exchangeCD,ticker,timestamp,lastPrice,shortNM
"XSHE","000001",1462345158000,10.720,"平安银行"
"XSHE","000002",1462345158000,24.430,"万  科Ａ"
"XSHE","000004",1462345158000,36.830,"国农科技"
"XSHE","000005",1462345158000,7.340,"世纪星源"
"XSHE","000006",1462345158000,8.080,"深振业Ａ"
"XSHE","000007",1462345158000,23.790,"全新好  "
"XSHE","000008",1462345158000,10.930,"神州高铁"
"XSHE","000009",1462345158000,13.970,"中国宝安"
"XSHE","000010",1462345158000,9.180,"深华新  "
"XSHE","000011",1462345158000,14.370,"深物业A "
"XSHE","000012",1462345158000,11.390,"南  玻Ａ"
"XSHE","000014",1462345158000,20.600,"沙河股份"
"XSHE","000016",1462345158000,5.170,"深康佳Ａ"
"XSHE","000017",1462345158000,12.590,"深中华A "
"XSHE","000018",1462345158000,48.100,"神州长城"
"XSHE","000019",1462345158000,19.250,"深深宝Ａ"
"XSHE","000020",1462345158000,23.310,"深华发Ａ"
"XSHE","000021",1462345158000,9.240,"深科技  "
"XSHE","000022",1462345158000,16.560,"深赤湾Ａ"
"XSHE","000023",1462345158000,33.460,"深天地Ａ"
"XSHE","000025",1462345158000,67.120,"特  力Ａ"
"XSHE","000026",1462345158000,12.060,"飞亚达Ａ"
"XSHE","000027",1462345158000,6.890,"深圳能源"
"XSHE","000028",1462345158000,70.220,"国药一致"
"XSHE","000029",1462345158000,11.200,"深深房Ａ"
"XSHE","000030",1462345158000,7.680,"富奥股份"
"XSHE","000031",1462345158000,10.290,"中粮地产"
"XSHE","000032",1462345158000,19.250,"深桑达Ａ"
"XSHE","000034",1462345158000,20.470,"神州数码"
"XSHE","000035",1462345158000,13.330,"中国天楹"
"XSHE","000036",1462345158000,9.120,"华联控股"
"XSHE","000037",1462345158000,11.210,"*ST南电A"
"XSHE","000038",1462345158000,56.900,"深大通  "
"XSHE","000039",1462345158000,14.730,"中集集团"
"XSHE","000040",1462345158000,12.550,"宝安地产"
"XSHE","000042",1462345158000,16.050,"中洲控股"
"XSHE","000043",1462345158000,8.490,"中航地产"
"XSHE","000045",1462345158000,13.810,"深纺织Ａ"
"XSHE","000046",1462345158000,10.070,"泛海控股"
"XSHE","000048",1462345158000,37.380,"康达尔  "
"XSHE","000049",1462345158000,39.300,"德赛电池"
"XSHE","000050",1462345158000,19.990,"深天马Ａ"
"XSHE","000055",1462345158000,16.700,"方大集团"
"XSHE","000056",1462345158000,27.600,"皇庭国际"
"XSHE","000058",1462345158000,12.220,"深 赛 格"
"XSHE","000059",1462345158000,8.770,"华锦股份"
"XSHE","000060",1462345158000,10.690,"中金岭南"
"XSHE","000061",1462345158000,12.610,"农 产 品"
"XSHE","000062",1462345158000,25.430,"深圳华强"
"XSHE","000063",1462345158000,14.480,"中兴通讯"
"XSHE","000065",1462345158000,27.700,"北方国际"
"XSHE","000066",1462345158000,12.190,"长城电脑"
"XSHE","000068",1462345158000,9.730,"华控赛格"
"XSHE","000069",1462345158000,6.790,"华侨城Ａ"
"XSHE","000070",1462345158000,25.340,"特发信息"
"XSHE","000078",1462345158000,19.560,"海王生物"
"XSHE","000088",1462345158000,6.790,"盐 田 港"
"XSHE","000089",1462345158000,8.200,"深圳机场"
